Position,Name,Year,URL,Description
1,Another Round,2020,https://boxd.it/lkba,"Directing
Thomas Vinterberg

International Feature Film
Denmark"
2,Better Days,2019,https://boxd.it/l9Ke,"International Feature Film
Hong Kong"
3,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,"Actress in a Supporting Role
Maria Bakalova

Writing (Adapted Screenplay)
Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad"
4,Collective,2019,https://boxd.it/mRVi,"Documentary (Feature)
Alexander Nanau and Bianca Oana

International Feature Film
Romania"
5,Crip Camp: A Disability Revolution,2020,https://boxd.it/oiOg,"Documentary (Feature)
Nicole Newnham, Jim LeBrecht and Sara Bolder"
6,Da 5 Bloods,2020,https://boxd.it/lnXw,"Music (Original Score)
Terence Blanchard"
7,Emma.,2020,https://boxd.it/kmg0,"Costume Design
Alexandra Byrne

Makeup and Hairstyling
Marese Langan, Laura Allen and Claudia Stolze"
8,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/jkMG,"Music (Original Song)
Husavik (Music and Lyric by Savan Kotecha, Fat Max Gsus and Rickard Göransson)"
9,The Father,2020,https://boxd.it/m8Ie,"Best Picture
David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers

Actor in a Leading Role
Anthony Hopkins

Actress in a Supporting Role
Olivia Colman

Film Editing
Yorgos Lamprinos

Production Design
Production Design: Peter Francis; Set Decoration: Cathy Featherstone

Writing (Adapted Screenplay)
Screenplay by Christopher Hampton and Florian Zeller"
10,Greyhound,2020,https://boxd.it/iIaE,"Sound
Warren Shaw, Michael Minkler, Beau Borders and David Wyman"
11,Hillbilly Elegy,2020,https://boxd.it/lQmY,"Actress in a Supporting Role
Glenn Close

Makeup and Hairstyling
Eryn Krueger Mekash, Matthew Mungle and Patricia Dehaney"
12,Judas and the Black Messiah,2021,https://boxd.it/lsew,"Best Picture
Shaka King, Charles D. King and Ryan Coogler, Producers

Actor in a Supporting Role
Daniel Kaluuya

Actor in a Supporting Role
Lakeith Stanfield

Cinematography
Sean Bobbitt

Music (Original Song)
Fight For You (Music by H.E.R. and Dernst Emile II; Lyric by H.E.R. and Tiara Thomas)

Writing (Original Screenplay)
Screenplay by Will Berson & Shaka King; Story by Will Berson & Shaka King and Kenny Lucas & Keith Lucas"
13,The Life Ahead,2020,https://boxd.it/oRqS,"Music (Original Song)
Io Sì (Seen) (Music by Diane Warren; Lyric by Diane Warren and Laura Pausini)"
14,Love and Monsters,2020,https://boxd.it/lJ6E,"Visual Effects
Matt Sloan, Genevieve Camilleri, Matt Everitt and Brian Cox"
15,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,"Actor in a Leading Role
Chadwick Boseman

Actress in a Leading Role
Viola Davis

Costume Design
Ann Roth

Makeup and Hairstyling
Sergio Lopez-Rivera, Mia Neal and Jamika Wilson

Production Design
Production Design: Mark Ricker; Set Decoration: Karen O'Hara and Diana Stoughton"
16,The Man Who Sold His Skin,2020,https://boxd.it/oV9c,"International Feature Film
Tunisia"
17,Mank,2020,https://boxd.it/mIuC,"Best Picture
Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers

Actor in a Leading Role
Gary Oldman

Actress in a Supporting Role
Amanda Seyfried

Cinematography
Erik Messerschmidt

Costume Design
Trish Summerville

Directing
David Fincher

Makeup and Hairstyling
Gigi Williams, Kimberley Spiteri and Colleen LaBaff

Music (Original Score)
Trent Reznor and Atticus Ross

Production Design
Production Design: Donald Graham Burt; Set Decoration: Jan Pascale

Sound
Ren Klyce, Jeremy Molod, David Parker, Nathan Nance and Drew Kunin"
18,The Midnight Sky,2020,https://boxd.it/mK6C,"Visual Effects
Matthew Kasmir, Christopher Lawrence, Max Solomon and David Watkins"
19,Minari,2020,https://boxd.it/mL9M,"Best Picture
Christina Oh, Producer

Actor in a Leading Role
Steven Yeun

Actress in a Supporting Role
Yuh-Jung Youn

Directing
Lee Isaac Chung

Music (Original Score)
Emile Mosseri

Writing (Original Screenplay)
Written by Lee Isaac Chung"
20,The Mole Agent,2020,https://boxd.it/oiRO,"Documentary (Feature)
Maite Alberdi and Marcela Santibáñez"
21,Mulan,2020,https://boxd.it/bbK6,"Costume Design
Bina Daigeler

Visual Effects
Sean Faden, Anders Langlands, Seth Maury and Steve Ingram"
22,My Octopus Teacher,2020,https://boxd.it/prk2,"Documentary (Feature)
Pippa Ehrlich, James Reed and Craig Foster"
23,News of the World,2020,https://boxd.it/lm7a,"Cinematography
Dariusz Wolski

Music (Original Score)
James Newton Howard

Production Design
Production Design: David Crank; Set Decoration: Elizabeth Keenan

Sound
Oliver Tarney, Mike Prestwood Smith, William Miller and John Pritchett"
24,Nomadland,2020,https://boxd.it/lnRy,"Best Picture
Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers

Actress in a Leading Role
Frances McDormand

Cinematography
Joshua James Richards

Directing
Chloé Zhao

Film Editing
Chloé Zhao

Writing (Adapted Screenplay)
Written for the screen by Chloé Zhao"
25,The One and Only Ivan,2020,https://boxd.it/iose,"Visual Effects
Nick Davis, Greg Fisher, Ben Jones and Santiago Colomo Martinez"
26,One Night in Miami...,2020,https://boxd.it/oCUo,"Actor in a Supporting Role
Leslie Odom, Jr.

Music (Original Song)
Speak Now (Music and Lyric by Leslie Odom, Jr. and Sam Ashworth)

Writing (Adapted Screenplay)
Screenplay by Kemp Powers"
27,Onward,2020,https://boxd.it/io92,"Animated Feature Film
Dan Scanlon and Kori Rae"
28,Over the Moon,2020,https://boxd.it/kv2Q,"Animated Feature Film
Glen Keane, Gennie Rim and Peilin Chou"
29,Pieces of a Woman,2020,https://boxd.it/nOrQ,"Actress in a Leading Role
Vanessa Kirby"
30,Pinocchio,2019,https://boxd.it/ezZ6,"Costume Design
Massimo Cantini Parrini

Makeup and Hairstyling
Mark Coulier, Dalia Colli and Francesco Pegoretti"
31,Promising Young Woman,2020,https://boxd.it/loRE,"Best Picture
Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers

Actress in a Leading Role
Carey Mulligan

Directing
Emerald Fennell

Film Editing
Frédéric Thoraval

Writing (Original Screenplay)
Written by Emerald Fennell"
32,"Quo Vadis, Aida?",2020,https://boxd.it/riws,"International Feature Film
Bosnia and Herzegovina"
33,A Shaun the Sheep Movie: Farmageddon,2019,https://boxd.it/eXfm,"Animated Feature Film
Richard Phelan, Will Becher and Paul Kewley"
34,Soul,2020,https://boxd.it/ioLA,"Animated Feature Film
Pete Docter and Dana Murray

Music (Original Score)
Trent Reznor, Atticus Ross and Jon Batiste

Sound
Ren Klyce, Coya Elliott and David Parker"
35,Sound of Metal,2019,https://boxd.it/i7Q4,"Best Picture
Bert Hamelinck and Sacha Ben Harroche, Producers

Actor in a Leading Role
Riz Ahmed

Actor in a Supporting Role
Paul Raci

Film Editing
Mikkel E. G. Nielsen

Sound
Nicolas Becker, Jaime Baksht, Michelle Couttolenc, Carlos Cortés and Phillip Bladh

Writing (Original Screenplay)
Screenplay by Darius Marder & Abraham Marder; Story by Darius Marder & Derek Cianfrance"
36,Tenet,2020,https://boxd.it/leq4,"Production Design
Production Design: Nathan Crowley; Set Decoration: Kathy Lucas

Visual Effects
Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher"
37,Time,2020,https://boxd.it/oiOA,"Documentary (Feature)
Garrett Bradley, Lauren Domino and Kellen Quinn"
38,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,"Best Picture
Marc Platt and Stuart Besser, Producers

Actor in a Supporting Role
Sacha Baron Cohen

Cinematography
Phedon Papamichael

Film Editing
Alan Baumgarten

Music (Original Song)
Hear My Voice (Music by Daniel Pemberton; Lyric by Daniel Pemberton and Celeste Waite)

Writing (Original Screenplay)
Written by Aaron Sorkin"
